,last_price,adv_usd,n_days,missing,eligible,name,sector,tier
STWD,15.979999542236328,54361579.50210571,1255,0.0,True,Starwood Property Trust,Financials,mid
GT,6.949999809265137,54251737.90740967,1255,0.0,True,Goodyear Tire and Rubber Company,Consumer Discretionary,small
PTON,6.389999866485596,54095886.67192459,1255,0.0,True,"Peloton Interactive, Inc.",Consumer Discretionary,small
SKY,79.61000061035156,53901690.57998657,1255,0.0,True,"Champion Homes, Inc.",Consumer Discretionary,small
FSS,124.94999694824219,53674488.830566406,1255,0.0,True,Federal Signal Corporation,Industrials,small
RLI,61.2400016784668,53648949.15275574,1255,0.0,True,RLI Corp.,Financials,mid
PRI,319.9599914550781,53598179.30603027,1255,0.0,True,Primerica,Financials,mid
THO,74.97000122070312,53568372.64709473,1255,0.0,True,Thor Industries,Consumer Discretionary,mid
CNR,79.83999633789062,53429937.268066406,1255,0.0,True,"Core Natural Resources, Inc.",Energy,small
HAE,85.54000091552734,53384057.71522522,1255,0.0,True,Haemonetics,Health Care,mid
SRPT,14.859999656677246,53368202.76699066,1255,0.0,True,Sarepta Therapeutics,Health Care,small
GNTX,23.360000610351562,53223094.62585449,1255,0.0,True,Gentex,Consumer Discretionary,mid
TRNO,71.6500015258789,53013091.09954834,1255,0.0,True,Terreno Realty Corporation,Real Estate,small
ASB,30.8799991607666,52935406.43463135,1255,0.0,True,Associated Bank,Financials,mid
ITRI,99.66000366210938,52919915.646362305,1255,0.0,True,"Itron, Inc.",Information Technology,small
OPCH,23.030000686645508,52894241.76940918,1255,0.0,True,Option Care Health,Health Care,mid
OZK,51.29999923706055,52713861.083984375,1255,0.0,True,Bank OZK,Financials,mid
KRC,38.81999969482422,52461437.49656677,1255,0.0,True,Kilroy Realty Corp,Real Estate,mid
MMSI,85.01000213623047,52436126.30844116,1255,0.0,True,"Merit Medical Systems, Inc.",Health Care,small
VC,104.54000091552734,52320849.14932251,1255,0.0,True,Visteon,Consumer Discretionary,mid
EPRT,31.290000915527344,52315263.06152344,1255,0.0,True,"Essential Properties Realty Trust, Inc.",Real Estate,small
LIVN,80.13999938964844,52250402.16064453,1255,0.0,True,LivaNova,Health Care,mid
SAIC,117.12999725341797,52233101.02844238,1255,0.0,True,Science Applications Intl Corp,Industrials,mid
PAG,217.30999755859375,52037654.650878906,1255,0.0,True,Penske Automotive Group,Consumer Discretionary,mid
VCYT,46.31999969482422,51882326.04446411,1255,0.0,True,"Veracyte, Inc.",Health Care,small
WSC,24.280000686645508,51854338.48171234,1255,0.0,True,WillScot Holdings Corp.,Industrials,small
BANC,19.149999618530273,51724846.65641785,1255,0.0,True,"Banc Of California, Inc.",Financials,small
PII,67.08000183105469,51705023.14453125,1255,0.0,True,Polaris,Consumer Discretionary,mid
VNT,32.130001068115234,51692500.0,1255,0.0,True,Vontier,Information Technology,mid
SMG,65.68000030517578,51611621.46759033,1255,0.0,True,Scotts Miracle-Gro Company,Materials,mid
WT,19.3700008392334,51555523.61011505,1255,0.0,True,"WisdomTree Investments, Inc.",Financials,small
